Sample,Gen_sp（属_种）(40属，66种）,菌根类型,dbh(cm)（胸径）,height(m)（树高）,TotalRootFreshMass(g)（总根鲜质量）,RootTipsFreshMass(g)（根尖鲜质量）,RemainingRootFreshMass(g)（剩余根鲜质量）,RemainingRootDryMass(g)（剩余根干质量）,RootTipsDryMass(g)（根尖干质量）,TotalRootDryMass(g)（总根干质量）,RootTipMassFraction(%)（根尖质量分数）,RootDryMatterContent(mg/g)（根系干物质含量）,RootWaterContent(%)（根系含水量）,RootLength(cm)（根长),SpecificRootLength(cm/g)(比根长）,RootArea(cm²)（根表面积）,SpecifcRootArea(cm²/g)（比根面积）,RootAvgDiam(mm)（根平均直径）,RootLenPerVol(cm/m³)（根长密度）,RootVolume(cm³)（根体积）,RootTissueDensity(g/cm³)（根组织密度）,NRootTips（根尖数）,branchiness(tips/length)（分枝性）,SRTipAbund(tips/g)（比根尖丰度）,Forks（交叉点）,Crossings（交叉数）
1,Acer laurinum,AM,"2,88","3,4","0,6026","0,2662","0,3364","0,1087333333","0,07594686","0,1846801933","44,39958905","315,2171603","68,47828397","199,8927333","1227,420776","39,37002","231,1633529","0,6289266667","199,8927333","0,6279333333","0,3178645197","453,4666667","2,351315219","2668,894276","589,9333333","21,13333333"
2,Acronychia pedunculata,AM,"10,6","8,9","0,7298888889","0,2483333333","0,4815555556","0,1283333333","0,0708495","0,1991828333","37,00535384","265,3455307","73,46544693","183,7145222","982,1376059","36,45435556","199,0721306","0,6761333333","183,7145222","0,5834444444","0,3395079","314,5555556","1,986162905","1937,663628","533,3333333","33,11111111"
3,Actinodaphne henryi,AM,"3,433333333",5,"0,5406666667","0,2901111111","0,2505555556","0,08911111111","0,0827687","0,1718798111","48,5060284","315,7676496","68,42323504","117,6037","725,8719186","27,72866667","168,6548553","0,7845666667","117,6037","0,5296666667","0,3291824632",172,"1,495052041","1114,004345","222,6666667","7,333333333"
4,Alchornea tiliifolia,AM,"2,4","3,9","0,4953333333","0,1618888889","0,3334444444","0,093","0,0461869","0,1391869","36,53764455","277,2193065","72,27806935","137,9604778","1140,815114","27,65583333","227,1506108","0,6555333333","137,9604778","0,4485555556","0,3223782147","444,3333333","3,157828422","3610,289217","455,3333333","20,44444444"
5,Antiaris toxicaria,AM,"3,3",5,"0,7666666667","0,166","0,6006666667","0,165","0,0473598","0,2123598","20,59958492","274,3387463","72,56612537","103,7679","697,7838876","23,94006667","142,8667359","0,7205333333","103,7679","0,447","0,4392106383",354,"3,603313512","2557,800809",262,9
6,Aporusa yunnanensis,AM,"3,85","5,2","0,3015","0,1003333333","0,2011666667","0,06","0,0286251","0,0886251","31,28463429","290,5312544","70,94687456","94,89295","1119,063674","18,19223333","217,5065632","0,6340666667","94,89295","0,2806666667","0,3159159648","324,8333333","3,959087131","4354,934164","206,8333333","7,166666667"
7,Baccaurea ramiflora,AM,"6,4","5,233333333","0,3997777778","0,09422222222","0,2951111111","0,06766666667","0,0268816","0,09454826667","31,31020126","238,7579797","76,12420203","61,02097778","756,3148677","16,11482222","187,4388653","0,8852666667","61,02097778","0,3514444444","0,2691080807","151,8888889","2,406558501","2028,074853",155,"3,666666667"
8,Barringtonia fusicarpa,AM,"4,45",6,"0,8113333333","0,275","0,5363333333","0,1456666667","0,0784575","0,2241241667","34,06904558","284,8778229","71,51221771","120,0236","531,061097","31,65043333","138,1096458","0,8609333333","120,0236","0,6721666667","0,356055333","211,6666667","1,949011253","956,1892074","229,6666667","6,833333333"
9,Beilschmiedia percoriacea,AM,"1,8","4,1","0,4993333333","0,144","0,3553333333","0,135","0,0410832","0,1760832","23,43749765","352,5887772","64,74112228","42,93763333","252,9340433","15,08713333","87,93898396","1,113733333","42,93763333","0,4226666667","0,4128353027","105,6666667","2,444428811","640,4062166","19,66666667",1
10,Canarium album,AM,"1,966666667","4,2","0,2205555556","0,07","0,1505555556","0,03811111111","0,019971","0,05808211111","34,28844272","262,1149655","73,78850345","94,40684444","1655,02242","16,59815556","291,1814553","0,5946","94,40684444","0,2364444444","0,2499355321","271,3333333","3,284167025","4994,188052","260,4444444",13
